trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_1_trip_2_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_3_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_4_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_5_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_6_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_7_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_8_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_9_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_10_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_11_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_12_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_13_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_14_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_15_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_16_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_17_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_18_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_19_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_20_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_21_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_22_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_23_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_24_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_25_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_26_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_27_service_1,route_11,service_1,Os. Podwawelskie,"",0,block_1,,
block_1_trip_28_service_1,route_11,service_1,Tyniec Kamieniolom,"",1,block_1,,
block_1_trip_29_service_1,route_11,service_1,Rondo Grunwaldzkie,"",0,block_1,,
block_12_trip_2_service_1,route_595,service_1,Os. Piastow,"",0,block_12,,
block_12_trip_3_service_1,route_595,service_1,Rzaka,"",1,block_12,,
block_12_trip_4_service_1,route_595,service_1,Os. Piastow,"",0,block_12,,
block_12_trip_5_service_1,route_595,service_1,Rzaka,"",1,block_12,,
block_12_trip_8_service_1,route_595,service_1,Os. Piastow,"",0,block_12,,
block_12_trip_9_service_1,route_595,service_1,Rzaka,"",1,block_12,,
block_12_trip_10_service_1,route_595,service_1,Os. Piastow,"",0,block_12,,
block_12_trip_11_service_1,route_595,service_1,Rzaka,"",1,block_12,,
block_12_trip_12_service_1,route_595,service_1,Os. Piastow,"",0,block_12,,
block_24_trip_2_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_3_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_4_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_5_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_6_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_7_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_8_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_9_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_10_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_11_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_12_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_13_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_14_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_24_trip_15_service_1,route_593,service_1,Os. Piastow,"",1,block_24,,
block_24_trip_16_service_1,route_593,service_1,Cichy Kacik,"",0,block_24,,
block_30_trip_2_service_1,route_602,service_1,Azory,"",0,block_30,,
block_30_trip_3_service_1,route_602,service_1,Nowy Biezanow Poludnie,"",1,block_30,,
block_30_trip_4_service_1,route_602,service_1,Azory,"",0,block_30,,
block_30_trip_5_service_1,route_602,service_1,Nowy Biezanow Poludnie,"",1,block_30,,
block_30_trip_8_service_1,route_602,service_1,Azory,"",0,block_30,,
block_30_trip_9_service_1,route_602,service_1,Nowy Biezanow Poludnie,"",1,block_30,,
block_30_trip_10_service_1,route_602,service_1,Azory,"",0,block_30,,
block_30_trip_11_service_1,route_602,service_1,Nowy Biezanow Poludnie,"",1,block_30,,
block_30_trip_12_service_1,route_602,service_1,Azory,"",0,block_30,,
block_30_trip_13_service_1,route_602,service_1,Nowy Biezanow Poludnie,"",1,block_30,,
block_33_trip_2_service_1,route_603,service_1,Kombinat,"",0,block_33,,
block_33_trip_3_service_1,route_603,service_1,Os. Kurdwanow,"",1,block_33,,
block_33_trip_4_service_1,route_603,service_1,Kombinat,"",0,block_33,,
block_33_trip_5_service_1,route_603,service_1,Os. Kurdwanow,"",1,block_33,,
block_33_trip_8_service_1,route_603,service_1,Kombinat,"",0,block_33,,
block_33_trip_9_service_1,route_603,service_1,Os. Kurdwanow,"",1,block_33,,
block_33_trip_10_service_1,route_603,service_1,Kombinat,"",0,block_33,,
block_33_trip_11_service_1,route_603,service_1,Os. Kurdwanow,"",1,block_33,,
block_40_trip_2_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_3_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_4_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_5_service_1,route_609,service_1,Wydzial Farmaceutyczny UJ,"",0,block_40,,
block_40_trip_6_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_7_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_8_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_9_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_10_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_11_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_12_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_13_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_14_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_15_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_16_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_17_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_18_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_19_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_20_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_21_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_22_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_23_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_24_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_25_service_1,route_609,service_1,Wydzial Farmaceutyczny UJ,"",0,block_40,,
block_40_trip_26_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_27_service_1,route_609,service_1,Wydzial Farmaceutyczny UJ,"",0,block_40,,
block_40_trip_28_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_29_service_1,route_609,service_1,Wydzial Farmaceutyczny UJ,"",0,block_40,,
block_40_trip_30_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_31_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_40_trip_32_service_1,route_609,service_1,Zlocien,"",1,block_40,,
block_40_trip_33_service_1,route_609,service_1,Miejskie Centrum Opieki,"",0,block_40,,
block_47_trip_2_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_3_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_4_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_5_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_6_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_7_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_8_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_9_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_10_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_11_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_12_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_13_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_14_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_15_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_16_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_17_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_18_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_19_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_20_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_21_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_47_trip_22_service_1,route_78,service_1,Niepolomice Dworzec,"",0,block_47,,
block_47_trip_23_service_1,route_78,service_1,Maly Plaszow P+R,"",1,block_47,,
block_51_trip_2_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_3_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_4_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_5_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_6_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_7_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_8_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_9_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_10_service_1,route_100,service_1,Nowa Wieś Szlachecka Petla,"",0,block_51,,
block_51_trip_11_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_12_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_13_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_51_trip_14_service_1,route_100,service_1,Czernichow Rynek,"",0,block_51,,
block_51_trip_15_service_1,route_100,service_1,Salwator,"",1,block_51,,
block_66_trip_2_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_66,,
block_66_trip_3_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_66,,
block_66_trip_4_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_66,,
block_66_trip_5_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_66,,
block_66_trip_8_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_66,,
block_66_trip_9_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_66,,
block_66_trip_10_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_66,,
block_66_trip_11_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_66,,
block_66_trip_12_service_1,route_349,service_1,Miejskie Centrum Opieki,"",0,block_66,,
block_66_trip_13_service_1,route_349,service_1,Czerwone Maki P+R,"",1,block_66,,
block_67_trip_2_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_3_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_4_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_5_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_6_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_7_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_8_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_9_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_10_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_11_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_12_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_13_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_14_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_15_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_16_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_17_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_18_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_19_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_20_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_21_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_22_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_23_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_26_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_27_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_28_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_29_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_30_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_31_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_32_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_33_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_34_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_35_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_36_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_37_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_38_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_39_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_40_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_41_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_42_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_43_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_67_trip_44_service_1,route_666,service_1,Walcownia,"",1,block_67,,
block_67_trip_45_service_1,route_666,service_1,Kombinat,"",0,block_67,,
block_80_trip_2_service_2,route_116,service_2,Wlosan Centrum,"",0,block_80,,
block_80_trip_3_service_2,route_116,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_4_service_2,route_116,service_2,Wlosan Centrum,"",0,block_80,,
block_80_trip_5_service_2,route_116,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_6_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_7_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_8_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_9_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_10_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_11_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_12_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_13_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_14_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_15_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
block_80_trip_16_service_2,route_96,service_2,Wieliczka Miasto,"",0,block_80,,
block_80_trip_17_service_2,route_96,service_2,Borek Falecki,"",1,block_80,,
